id,transmit_time,created_date,imei,momsn,message_version,software_version,bridge_voltage,bridge_temperature,bridge_humidity,bridge_pressure,inference_class,inference_accuracy,image_datetime
4353,21/06/2022 05:14,2021-06-22 05:14:17.331272+00:00,300434065263510,31,6,4,3355,22,26,982,Other,0.8941,22/06/2021 06:11
4353,21/06/2022 05:14,2021-06-22 05:14:17.331272+00:00,300434065263510,31,6,4,3355,22,26,982,Other,0.8863,22/06/2021 06:12
4353,21/06/2022 05:14,2021-06-22 05:14:17.331272+00:00,300434065263510,31,6,4,3355,22,26,982,Elephant_African,0.9216,22/06/2021 06:12
4354,21/06/2022 15:15,2021-06-22 15:15:57.744697+00:00,300434065263510,32,6,4,3372,25,26,980,Other,0.8863,22/06/2021 16:10
4354,21/06/2022 15:15,2021-06-22 15:15:57.744697+00:00,300434065263510,32,6,4,3372,25,26,980,Elephant_African,0.5686,22/06/2021 16:10
4355,21/06/2022 16:50,2021-06-22 16:51:07.573865+00:00,300434065263510,33,6,4,3340,24,26,979,Elephant_African,0.4549,22/06/2021 17:45
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Other,0.8745,23/06/2021 05:21
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Other,0.8549,23/06/2021 05:21
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Elephant_African,0.9216,23/06/2021 05:21
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Other,0.8,23/06/2021 05:21
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Other,0.8941,23/06/2021 06:09
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Other,0.8745,23/06/2021 06:10
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Other,0.7765,23/06/2021 06:10
4356,21/06/2023 05:14,2021-06-23 05:14:43.349545+00:00,300434065263510,34,6,4,3363,22,27,982,Other,0.7608,23/06/2021 06:10
4357,21/06/2023 07:24,2021-06-23 07:24:24.878662+00:00,300434065263510,35,6,4,3352,22,27,983,Elephant_African,0.8902,23/06/2021 08:20
4357,21/06/2023 07:24,2021-06-23 07:24:24.878662+00:00,300434065263510,35,6,4,3352,22,27,983,Elephant_African,0.9098,23/06/2021 08:20
4357,21/06/2023 07:24,2021-06-23 07:24:24.878662+00:00,300434065263510,35,6,4,3352,22,27,983,Elephant_African,0.9294,23/06/2021 08:20
4357,21/06/2023 07:24,2021-06-23 07:24:24.878662+00:00,300434065263510,35,6,4,3352,22,27,983,Elephant_African,0.7569,23/06/2021 08:21
4357,21/06/2023 07:24,2021-06-23 07:24:24.878662+00:00,300434065263510,35,6,4,3352,22,27,983,Elephant_African,0.9216,23/06/2021 08:21
4358,21/06/2023 13:51,2021-06-23 13:52:02.137669+00:00,300434065263510,36,6,4,3355,24,26,982,Other,0.9176,23/06/2021 11:19
4358,21/06/2023 13:51,2021-06-23 13:52:02.137669+00:00,300434065263510,36,6,4,3355,24,26,982,Elephant_African,0.5373,23/06/2021 14:48
4358,21/06/2023 13:51,2021-06-23 13:52:02.137669+00:00,300434065263510,36,6,4,3355,24,26,982,Elephant_African,0.9176,23/06/2021 14:49
4358,21/06/2023 13:51,2021-06-23 13:52:02.137669+00:00,300434065263510,36,6,4,3355,24,26,982,Elephant_African,0.7961,23/06/2021 14:49
4358,21/06/2023 13:51,2021-06-23 13:52:02.137669+00:00,300434065263510,36,6,4,3355,24,26,982,Elephant_African,0.9255,23/06/2021 14:49
4358,21/06/2023 13:51,2021-06-23 13:52:02.137669+00:00,300434065263510,36,6,4,3355,24,26,982,Elephant_African,0.9176,23/06/2021 14:49
4358,21/06/2023 13:51,2021-06-23 13:52:02.137669+00:00,300434065263510,36,6,4,3355,24,26,982,Elephant_African,0.9373,23/06/2021 14:49
4359,21/06/2023 15:27,2021-06-23 15:27:44.918130+00:00,300434065263510,37,6,4,3344,24,26,980,Other,0.9608,23/06/2021 14:53
4359,21/06/2023 15:27,2021-06-23 15:27:44.918130+00:00,300434065263510,37,6,4,3344,24,26,980,Other,0.8863,23/06/2021 16:23
4359,21/06/2023 15:27,2021-06-23 15:27:44.918130+00:00,300434065263510,37,6,4,3344,24,26,980,Other,0.9333,23/06/2021 16:23
4360,21/06/2023 22:00,2021-06-23 22:01:31.090621+00:00,300434065263510,38,6,4,3340,22,27,982,Elephant_African,0.902,23/06/2021 16:48
4360,21/06/2023 22:00,2021-06-23 22:01:31.090621+00:00,300434065263510,38,6,4,3340,22,27,982,Elephant_African,0.8784,23/06/2021 16:48
4360,21/06/2023 22:00,2021-06-23 22:01:31.090621+00:00,300434065263510,38,6,4,3340,22,27,982,Elephant_African,0.6941,23/06/2021 16:48
4360,21/06/2023 22:00,2021-06-23 22:01:31.090621+00:00,300434065263510,38,6,4,3340,22,27,982,Elephant_African,0.5098,23/06/2021 16:48
4360,21/06/2023 22:00,2021-06-23 22:01:31.090621+00:00,300434065263510,38,6,4,3340,22,27,982,Other,0.4392,23/06/2021 16:49
4360,21/06/2023 22:00,2021-06-23 22:01:31.090621+00:00,300434065263510,38,6,4,3340,22,27,982,Elephant_African,0.5451,23/06/2021 22:58
4360,21/06/2023 22:00,2021-06-23 22:01:31.090621+00:00,300434065263510,38,6,4,3340,22,27,982,Other,0.8706,23/06/2021 22:58
